Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6759,Infinite Jest,David Foster Wallace,"Wallace, David Foster",,"=""""","=""""",0,4.25,Back Bay Books,Paperback,1088,2005,1996,2026/03/10,2022/11/28,,,read,,,,1,0
1111,The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,"Caro, Robert A.",,"=""0394720245""","=""9780394720241""",5,4.53,Vintage Books,Paperback,1246,1975,1974,2025/12/29,2025/05/06,,,read,,,,1,0
223736214,Breakneck: China's Quest to Engineer the Future,Dan  Wang,"Wang, Dan",,"=""1324106034""","=""9781324106036""",0,4.15,W. W. Norton & Company,Hardcover,288,2025,2025,,2025/12/08,to-read,to-read (#343),to-read,,,,0,0
21418013,"Lock In (Lock In, #1)",John Scalzi,"Scalzi, John",,"=""0765375869""","=""9780765375865""",0,3.92,Tor Books,Hardcover,336,2014,2014,,2025/03/20,,,read,,,,1,0
768387,Culture and the Evolutionary Process,Robert   Boyd,"Boyd, Robert",Peter J. Richerson,"=""0226069338""","=""9780226069333""",0,4.03,University of Chicago Press,Paperback,339,1988,1985,,2025/09/04,to-read,to-read (#342),to-read,,,,0,0
1842,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"Diamond, Jared",,"=""0739467352""","=""9780739467350""",0,4.04,W.W. Norton & Company,Paperback,498,2005,1997,,2025/09/04,to-read,to-read (#341),to-read,,,,0,0
15860,State of Fear,Michael Crichton,"Crichton, Michael",,"=""""","=""""",0,3.71,Avon,Mass Market Paperback,672,2005,2004,,2025/09/01,to-read,to-read (#340),to-read,,,,0,0
34201498,Stalin: Waiting for Hitler 1929-1941,Stephen Kotkin,"Kotkin, Stephen",,"=""1594203806""","=""9781594203800""",0,4.46,Penguin,Hardcover,1184,2017,2017,,2025/07/05,to-read,to-read (#339),to-read,,,,0,0
26778184,Bearing False Witness: Debunking Centuries of Anti-Catholic History,Rodney Stark,"Stark, Rodney",,"=""1599474999""","=""9781599474991""",0,4.33,Templeton Press,Hardcover,280,2016,2016,,2025/07/03,to-read,to-read (#338),to-read,,,,0,0
406373,Faust,Johann Wolfgang von Goethe,"Goethe, Johann Wolfgang von",Walter Kaufmann,"=""0385031149""","=""9780385031141""",5,3.89,Vintage,Paperback,503,1962,1808,,2020/09/15,,,read,,,,1,0
567678,The Wasp Factory,Iain Banks,"Banks, Iain",,"=""""","=""""",0,3.75,Simon & Schuster (NYC),Paperback,184,1998,1984,,2025/05/09,to-read,to-read (#337),to-read,,,,0,0
49099937,No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,"Hastings, Reed",Erin Meyer,"=""0593152387""","=""9780593152386""",0,4.27,Random House Large Print,Paperback,464,2020,2020,,2025/05/09,to-read,to-read (#336),to-read,,,,0,0
1983769,The Tortoise and the Hare,Elizabeth Jenkins,"Jenkins, Elizabeth",Hilary Mantel,"=""0860682722""","=""9780860682721""",0,3.95,Virago Modern Classics,Hardcover,272,1987,1954,,2025/05/09,to-read,to-read (#335),to-read,,,,0,0
3285799,All It Takes Is Guts: A Minority View,Walter E. Williams,"Williams, Walter E.",,"=""0895265699""","=""9780895265692""",0,4.23,Gateway Books,Hardcover,189,1988,1988,,2025/05/07,to-read,to-read (#334),to-read,,,,0,0
49465445,Do Markets Corrupt Our Morals?,Virgil Henry Storr,"Storr, Virgil Henry",Ginny Seung Choi,"=""3030184153""","=""9783030184155""",0,3.51,Palgrave Macmillan,Paperback,296,2019,2019,,2025/05/07,to-read,to-read (#333),to-read,,,,0,0
13049569,"The Passage of Power (The Years of Lyndon Johnson, #4)",Robert A. Caro,"Caro, Robert A.",,"=""0679405070""","=""9780679405078""",0,4.41,Knopf,Hardcover,712,2012,2012,,2025/05/06,to-read,to-read (#332),to-read,,,,0,0
86525,"Master of the Senate (The Years of Lyndon Johnson, #3)",Robert A. Caro,"Caro, Robert A.",,"=""0394720954""","=""9780394720951""",0,4.43,Vintage,Paperback,1167,2003,2002,,2025/05/06,to-read,to-read (#331),to-read,,,,0,0
208324,"Means of Ascent (The Years of Lyndon Johnson, #2)",Robert A. Caro,"Caro, Robert A.",,"=""067973371X""","=""9780679733713""",0,4.29,Vintage,Paperback,522,1991,1990,,2025/05/06,to-read,to-read (#330),to-read,,,,0,0
86524,"The Path to Power (The Years of Lyndon Johnson, #1)",Robert A. Caro,"Caro, Robert A.",,"=""0679729453""","=""9780679729457""",0,4.43,Vintage,Paperback,882,1990,1982,,2025/05/06,to-read,to-read (#329),to-read,,,,0,0
117047,The Blind Watchmaker: Why the Evidence of Evolution Reveals a Universe Without Design,Richard Dawkins,"Dawkins, Richard",,"=""0141026162""","=""9780141026169""",0,4.09,Penguin,Paperback,466,2006,1986,,2025/04/08,to-read,to-read (#328),to-read,,,,0,0
176444106,Abundance,Ezra Klein,"Klein, Ezra",Derek   Thompson,"=""1668023482""","=""9781668023488""",0,3.92,Avid Reader Press / Simon & Schuster,Hardcover,304,2025,2025,2025/04/07,2025/03/19,,,read,,,,1,0
75303,The Qur'an,Anonymous,"Anonymous, Anonymous",N.J. Dawood,"=""0140449205""","=""9780140449204""",0,4.38,Penguin Classics,Paperback,456,2004,632,2025/04/07,2025/03/14,,,read,,,,1,0
51710349,The WEIRDest People in the World: How the West Became Psychologically Peculiar and Particularly Prosperous,Joseph Henrich,"Henrich, Joseph",,"=""0374710457""","=""9780374710453""",0,4.13,"Farrar, Straus and Giroux",Kindle Edition,706,2020,2020,2025/04/07,2025/03/13,,,read,,,,1,0
169354,"The Prize: The Epic Quest for Oil, Money, and Power",Daniel Yergin,"Yergin, Daniel",,"=""0671799320""","=""9780671799328""",0,4.44,Free Press,Paperback,928,1993,1991,,2025/03/22,to-read,to-read (#327),to-read,,,,0,0
25761655,"The Secret of Our Success: How Culture Is Driving Human Evolution, Domesticating Our Species, and Making Us Smarter",Joseph Henrich,"Henrich, Joseph",,"=""0691166854""","=""9780691166858""",0,4.39,Princeton University Press,Hardcover,456,2015,2015,,2025/03/13,to-read,to-read (#326),to-read,,,,0,0
6719050,Grundgesetz für die Bundesrepublik Deutschland,Germany,"Germany, Germany",,"=""""","=""""",0,4.07,Bundeszentrale für politische Bildung,Paperback,93,2009,2007,,2025/03/06,to-read,to-read (#325),to-read,,,,0,0
53232144,On Task: How Our Brain Gets Things Done,David Badre,"Badre, David",,"=""0691175551""","=""9780691175553""",0,3.99,Princeton University Press,Hardcover,344,2020,,,2025/02/28,to-read,to-read (#324),to-read,,,,0,0
13543093,The Better Angels of Our Nature: Why Violence Has Declined,Steven Pinker,"Pinker, Steven",,"=""0143122010""","=""9780143122012""",0,4.16,Penguin Books,Paperback,806,2012,2010,,2025/01/27,to-read,to-read (#323),to-read,,,,0,0
44492285,Dune Messiah (Dune #2),Frank Herbert,"Herbert, Frank",Brian Herbert,"=""0593098234""","=""9780593098233""",0,3.89,Ace,Mass Market Paperback,336,2019,1969,2025/01/24,2025/01/23,,,read,,,,1,0
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",4,3.98,HarperPerennial / Perennial Classics,Paperback,288,1998,1932,2020/11/19,2020/06/29,"philosophy, favourites","philosophy (#50), favourites (#2)",read,,,,3,0
4025200,"The Unincorporated Man  (Unincorporated Man, #1)",Dani Kollin,"Kollin, Dani",Eytan Kollin,"=""0765318997""","=""9780765318992""",0,3.81,Tor Books,Hardcover,479,2009,2009,2025/01/22,2023/07/04,,,read,,,,1,0
214490408,House of Huawei: The Secret History of China's Most Powerful Company,Eva Dou,"Dou, Eva",,"=""0593544633""","=""9780593544631""",0,3.89,Portfolio,Hardcover,448,2025,2025,,2025/01/16,to-read,to-read (#322),to-read,,,,0,0
51650768,The Disappearance of Rituals: A Topology of the Present,Byung-Chul Han,"Han, Byung-Chul",Daniel Steuer,"=""1509542752""","=""9781509542758""",0,3.99,Polity,Hardcover,186,2020,2019,,2025/01/16,to-read,to-read (#321),to-read,,,,0,0
24128,The Merchant of Venice,William Shakespeare,"Shakespeare, William","Barbara A. Mowat, Paul Werstine, David Scott Kastan, Felix Emmanuel Schelling, محمد عناني, David Bevington, Robert          Jackson","=""0743477561""","=""9780743477567""",0,3.77,Simon & Schuster,Mass Market Paperback,249,2011,1596,,2025/01/16,to-read,to-read (#320),to-read,,,,0,0
199798515,What Went Wrong with Capitalism,Ruchir Sharma,"Sharma, Ruchir",,"=""1668008262""","=""9781668008263""",0,3.85,Simon & Schuster,Hardcover,384,2024,2024,,2024/12/20,to-read,to-read (#319),to-read,,,,0,0
102661,The Diviners,Margaret Laurence,"Laurence, Margaret",Margaret Atwood,"=""0226469352""","=""9780226469355""",0,4.18,University of Chicago Press,Paperback,390,1993,1974,,2024/12/17,to-read,to-read (#318),to-read,,,,0,0
1097544,Karl Marx,Francis Wheen,"Wheen, Francis",,"=""1841151149""","=""9781841151144""",0,4.05,Fourth Estate,Paperback,431,1999,1999,,2024/12/16,to-read,to-read (#317),to-read,,,,0,0
56268989,"The Bond King: How One Man Made a Market, Built an Empire, and Lost it All",Mary  Childs,"Childs, Mary",,"=""1250120845""","=""9781250120847""",0,3.80,Flatiron Books,Hardcover,336,2022,2022,,2024/12/09,to-read,to-read (#316),to-read,,,,0,0
53138202,"The Age of Acrimony: How Americans Fought to Fix Their Democracy, 1865-1915",Jon Grinspan,"Grinspan, Jon",,"=""1635574625""","=""9781635574623""",0,4.02,Bloomsbury Publishing,Hardcover,384,2021,,,2024/12/08,to-read,to-read (#315),to-read,,,,0,0
11987,The Myth of Sisyphus and Other Essays,Albert Camus,"Camus, Albert",Justin O'Brien,"=""""","=""""",0,4.21,Vintage International,Paperback,212,1991,1942,,2024/12/08,"currently-reading, philosophy","currently-reading (#17), philosophy (#140)",currently-reading,,,,1,0
13139126,An Economist Gets Lunch: New Rules for Everyday Foodies,Tyler Cowen,"Cowen, Tyler",,"=""""","=""""",0,3.45,Dutton Adult,Hardcover,304,2012,2012,2024/11/29,2024/11/28,economics,economics (#145),read,,,,1,0
212900939,Freedom: Memoirs 1954-2021,Angela Merkel,"Merkel, Angela",,"=""1250319900""","=""9781250319906""",0,3.85,St. Martin's Press,Hardcover,720,2024,2024,,2024/11/28,to-read,to-read (#314),to-read,,,,0,0
121148690,Inflation Reduction Act of 2022: With Amendments,U.S. Congress,"Congress, U.S.",,"=""""","=""9798360698036""",0,0.0,Independently published,Paperback,273,2022,,2024/11/27,2024/06/20,,,read,,,,1,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",5,4.50,Ballantine Books,Hardcover,476,2021,2021,2024/11/26,2024/11/15,,,read,,,,1,0
88432,Life and Fate,Vasily Grossman,"Grossman, Vasily",,"=""""","=""""",0,4.46,Vintage Classics,Paperback,864,2006,1960,,2024/11/25,to-read,to-read (#313),to-read,,,,0,0
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",0,4.42,Crown Publishers,Hardcover,369,2014,2011,2024/11/18,2022/06/17,,,read,,,,1,0
17841,Foucault’s Pendulum,Umberto Eco,"Eco, Umberto",William Weaver,"=""015603297X""","=""9780156032971""",0,3.91,Mariner Books,Paperback,623,2007,1988,,2024/11/14,to-read,to-read (#312),to-read,,,,0,0
20821221,"Stalin: Paradoxes of Power, 1878-1928",Stephen Kotkin,"Kotkin, Stephen",,"=""1594203792""","=""9781594203794""",0,4.02,Penguin Press,Hardcover,976,2014,2014,2024/11/11,2024/04/10,,,read,,,,1,0
