season,match_id,match_date,stage,home_team,away_team,home_score,away_score,home_xg,away_xg,complete_tournament
2022,3857286,2022-11-20,Group Stage,Qatar,Ecuador,0,2,0.3042,1.154,True
2022,3857271,2022-11-21,Group Stage,England,Iran,6,2,1.9872,1.4557,True
2022,3857282,2022-11-21,Group Stage,United States,Wales,1,1,0.6025,1.3953,True
2022,3857285,2022-11-21,Group Stage,Senegal,Netherlands,0,2,0.6915,1.1239,True
2022,3857254,2022-11-22,Group Stage,Denmark,Tunisia,0,0,1.5666,1.0599,True
2022,3857265,2022-11-22,Group Stage,Mexico,Poland,0,0,0.5291,1.1379,True
2022,3857279,2022-11-22,Group Stage,France,Australia,4,1,3.1705,0.3233,True
2022,3857300,2022-11-22,Group Stage,Argentina,Saudi Arabia,1,2,2.4916,0.1535,True
2022,3857268,2022-11-23,Group Stage,Belgium,Canada,1,0,0.67,2.5462,True
2022,3857277,2022-11-23,Group Stage,Morocco,Croatia,0,0,0.3626,0.8499,True
2022,3857284,2022-11-23,Group Stage,Germany,Japan,1,2,2.768,1.2493,True
2022,3857291,2022-11-23,Group Stage,Spain,Costa Rica,7,0,2.7619,0.0,True
2022,3857258,2022-11-24,Group Stage,Brazil,Serbia,2,0,2.1239,0.1633,True
2022,3857287,2022-11-24,Group Stage,Uruguay,South Korea,0,0,0.4173,0.493,True
2022,3857290,2022-11-24,Group Stage,Switzerland,Cameroon,1,0,1.4265,0.6131,True
2022,3857298,2022-11-24,Group Stage,Portugal,Ghana,3,2,2.0969,0.78,True
2022,3857272,2022-11-25,Group Stage,England,United States,0,0,0.4606,0.5143,True
2022,3857273,2022-11-25,Group Stage,Wales,Iran,0,2,0.6156,1.454,True
2022,3857274,2022-11-25,Group Stage,Netherlands,Ecuador,1,1,0.1045,1.6511,True
2022,3857301,2022-11-25,Group Stage,Qatar,Senegal,1,3,0.9601,0.903,True
2022,3857266,2022-11-26,Group Stage,France,Denmark,2,1,1.9336,0.8885,True
2022,3857288,2022-11-26,Group Stage,Tunisia,Australia,0,1,1.0522,0.359,True
2022,3857289,2022-11-26,Group Stage,Argentina,Mexico,2,0,0.3252,0.2064,True
2022,3857297,2022-11-26,Group Stage,Poland,Saudi Arabia,2,0,1.7342,1.972,True
2022,3857263,2022-11-27,Group Stage,Spain,Germany,1,1,0.6395,1.147,True
2022,3857281,2022-11-27,Group Stage,Croatia,Canada,4,1,2.6102,0.2868,True
2022,3857283,2022-11-27,Group Stage,Belgium,Morocco,0,2,0.6426,0.9911,True
2022,3857295,2022-11-27,Group Stage,Japan,Costa Rica,0,1,0.7735,0.1994,True
2022,3857259,2022-11-28,Group Stage,Cameroon,Serbia,3,3,2.0703,1.7381,True
2022,3857269,2022-11-28,Group Stage,Brazil,Switzerland,1,0,0.9227,0.2886,True
2022,3857270,2022-11-28,Group Stage,Portugal,Uruguay,2,0,1.2137,1.2167,True
2022,3857299,2022-11-28,Group Stage,South Korea,Ghana,2,3,1.3678,1.1805,True
2022,3857261,2022-11-29,Group Stage,Wales,England,0,3,0.208,2.9155,True
2022,3857267,2022-11-29,Group Stage,Ecuador,Senegal,1,2,1.0017,1.7075,True
2022,3857278,2022-11-29,Group Stage,Iran,United States,0,1,0.9208,1.1697,True
2022,3857294,2022-11-29,Group Stage,Netherlands,Qatar,2,0,1.714,0.1437,True
2022,3857257,2022-11-30,Group Stage,Australia,Denmark,1,0,0.4697,0.7372,True
2022,3857260,2022-11-30,Group Stage,Saudi Arabia,Mexico,1,2,1.0761,2.3221,True
2022,3857264,2022-11-30,Group Stage,Poland,Argentina,0,2,0.1976,3.0767,True
2022,3857275,2022-11-30,Group Stage,Tunisia,France,1,0,0.2983,0.477,True
2022,3857255,2022-12-01,Group Stage,Japan,Spain,2,1,1.1578,0.8577,True
2022,3857276,2022-12-01,Group Stage,Canada,Morocco,1,2,1.0956,0.4264,True
2022,3857292,2022-12-01,Group Stage,Costa Rica,Germany,2,4,1.0347,4.3161,True
2022,3857296,2022-12-01,Group Stage,Croatia,Belgium,0,0,0.695,2.3818,True
2022,3857256,2022-12-02,Group Stage,Serbia,Switzerland,2,3,1.189,3.1035,True
2022,3857262,2022-12-02,Group Stage,South Korea,Portugal,2,1,1.399,0.9737,True
2022,3857280,2022-12-02,Group Stage,Cameroon,Brazil,1,0,0.3834,2.3782,True
2022,3857293,2022-12-02,Group Stage,Ghana,Uruguay,0,2,1.3927,1.6366,True
2022,3869117,2022-12-03,Round of 16,Netherlands,United States,3,1,1.4819,1.6521,True
2022,3869151,2022-12-03,Round of 16,Argentina,Australia,2,1,1.4816,0.4261,True
2022,3869118,2022-12-04,Round of 16,England,Senegal,3,0,1.02,0.9728,True
2022,3869152,2022-12-04,Round of 16,France,Poland,3,1,1.1264,1.5935,True
2022,3869219,2022-12-05,Round of 16,Japan,Croatia,1,1,1.069,0.8544,True
2022,3869253,2022-12-05,Round of 16,Brazil,South Korea,4,1,3.2614,0.3448,True
