season,team,fifa_code,fifa_rank_date,fifa_rank_pre_tournament,fifa_points_pre_tournament,matches,xg_per_game,net_xg_per_game,tournament_result,data_source
2022,Brazil,BRA,2022-10-06,1,1841.3,5,2.1005,1.7379,Quarter-finals exit,StatsBomb Open Data
2022,Belgium,BEL,2022-10-06,2,1816.71,3,1.2315,-0.1793,Group stage exit,StatsBomb Open Data
2022,Argentina,ARG,2022-10-06,3,1773.88,7,1.991,1.3859,Winner,StatsBomb Open Data
2022,France,FRA,2022-10-06,4,1759.78,7,1.6888,0.3396,Runner-up,StatsBomb Open Data
2022,England,ENG,2022-10-06,5,1728.47,5,1.7472,0.9491,Quarter-finals exit,StatsBomb Open Data
2022,Spain,ESP,2022-10-06,7,1715.22,4,1.1885,0.4697,Round of 16 exit,StatsBomb Open Data
2022,Netherlands,NED,2022-10-06,8,1694.51,5,0.9988,-0.2168,Quarter-finals exit,StatsBomb Open Data
2022,Portugal,POR,2022-10-06,9,1676.56,5,1.4625,0.3346,Quarter-finals exit,StatsBomb Open Data
2022,Denmark,DEN,2022-10-06,10,1666.57,3,1.0641,-0.0903,Group stage exit,StatsBomb Open Data
2022,Germany,GER,2022-10-06,11,1650.21,3,2.7437,1.7692,Group stage exit,StatsBomb Open Data
2022,Croatia,CRO,2022-10-06,12,1645.64,7,0.986,-0.2672,Third place,StatsBomb Open Data
2022,Mexico,MEX,2022-10-06,13,1644.89,3,1.0192,0.1728,Group stage exit,StatsBomb Open Data
2022,Uruguay,URU,2022-10-06,14,1638.71,3,1.0902,0.057,Group stage exit,StatsBomb Open Data
2022,Switzerland,SUI,2022-10-06,15,1635.92,4,1.5226,0.2704,Round of 16 exit,StatsBomb Open Data
2022,United States,USA,2022-10-06,16,1627.48,4,0.9846,-0.08,Round of 16 exit,StatsBomb Open Data
2022,Senegal,SEN,2022-10-06,18,1584.38,4,1.0687,0.0423,Round of 16 exit,StatsBomb Open Data
2022,Wales,WAL,2022-10-06,19,1569.82,3,0.7397,-0.9177,Group stage exit,StatsBomb Open Data
2022,Iran,IRN,2022-10-06,20,1564.61,3,1.2768,0.0193,Group stage exit,StatsBomb Open Data
2022,Serbia,SRB,2022-10-06,21,1563.62,3,1.0301,-1.4024,Group stage exit,StatsBomb Open Data
2022,Morocco,MAR,2022-10-06,22,1563.5,7,0.7921,-0.1621,Fourth place,StatsBomb Open Data
2022,Japan,JPN,2022-10-06,24,1559.54,4,1.0624,-0.1075,Round of 16 exit,StatsBomb Open Data
2022,Poland,POL,2022-10-06,26,1548.59,4,1.1658,-0.5102,Round of 16 exit,StatsBomb Open Data
2022,South Korea,KOR,2022-10-06,28,1530.3,4,0.9011,-0.5571,Round of 16 exit,StatsBomb Open Data
2022,Tunisia,TUN,2022-10-06,30,1507.54,3,0.8035,0.0026,Group stage exit,StatsBomb Open Data
2022,Costa Rica,CRC,2022-10-06,31,1503.59,3,0.4114,-2.2058,Group stage exit,StatsBomb Open Data
2022,Australia,AUS,2022-10-06,38,1488.72,4,0.3945,-1.2158,Round of 16 exit,StatsBomb Open Data
2022,Canada,CAN,2022-10-06,41,1475.0,3,1.3095,0.074,Group stage exit,StatsBomb Open Data
2022,Cameroon,CMR,2022-10-06,43,1471.44,3,1.0222,-0.8254,Group stage exit,StatsBomb Open Data
2022,Ecuador,ECU,2022-10-06,44,1464.39,3,1.2689,0.5635,Group stage exit,StatsBomb Open Data
2022,Qatar,QAT,2022-10-06,50,1439.89,3,0.4693,-0.7876,Group stage exit,StatsBomb Open Data
2022,Saudi Arabia,KSA,2022-10-06,51,1437.78,3,1.0672,-1.1155,Group stage exit,StatsBomb Open Data
2022,Ghana,GHA,2022-10-06,61,1393.0,3,1.1178,-0.5827,Group stage exit,StatsBomb Open Data
2018,Germany,GER,2018-06-07,1,1558.0,3,2.1079,0.9136,Group stage exit,StatsBomb Open Data
2018,Brazil,BRA,2018-06-07,2,1431.0,5,2.4625,1.949,Quarter-finals exit,StatsBomb Open Data
2018,Belgium,BEL,2018-06-07,3,1298.0,7,1.8178,0.4843,Third place,StatsBomb Open Data
2018,Portugal,POR,2018-06-07,4,1274.0,4,1.2094,-0.0829,Round of 16 exit,StatsBomb Open Data
2018,Argentina,ARG,2018-06-07,5,1241.0,4,1.3989,-0.0529,Round of 16 exit,StatsBomb Open Data
2018,Switzerland,SUI,2018-06-07,6,1199.0,4,0.9455,-0.4312,Round of 16 exit,StatsBomb Open Data
2018,France,FRA,2018-06-07,7,1198.0,7,1.2569,0.4096,Winner,StatsBomb Open Data
2018,Poland,POL,2018-06-07,8,1183.0,3,1.0657,-0.1694,Group stage exit,StatsBomb Open Data
2018,Spain,ESP,2018-06-07,10,1126.0,4,1.9759,0.8911,Round of 16 exit,StatsBomb Open Data
2018,Peru,PER,2018-06-07,11,1125.0,3,0.9627,-0.5751,Group stage exit,StatsBomb Open Data
2018,Denmark,DEN,2018-06-07,12,1051.0,4,0.7429,-0.7389,Round of 16 exit,StatsBomb Open Data
2018,England,ENG,2018-06-07,13,1051.0,7,1.6971,0.5374,Fourth place,StatsBomb Open Data
2018,Uruguay,URU,2018-06-07,14,1018.0,5,1.48,1.0095,Quarter-finals exit,StatsBomb Open Data
2018,Mexico,MEX,2018-06-07,15,989.0,4,1.2661,-1.0419,Round of 16 exit,StatsBomb Open Data
2018,Colombia,COL,2018-06-07,16,986.0,4,0.8273,-0.6827,Round of 16 exit,StatsBomb Open Data
2018,Croatia,CRO,2018-06-07,20,945.0,7,1.6632,0.5882,Runner-up,StatsBomb Open Data
2018,Tunisia,TUN,2018-06-07,21,910.0,3,1.6621,-1.2225,Group stage exit,StatsBomb Open Data
2018,Iceland,ISL,2018-06-07,22,908.0,3,1.5723,0.2168,Group stage exit,StatsBomb Open Data
2018,Costa Rica,CRC,2018-06-07,23,884.0,3,0.777,-1.3259,Group stage exit,StatsBomb Open Data
2018,Sweden,SWE,2018-06-07,24,880.0,5,1.4731,0.5462,Quarter-finals exit,StatsBomb Open Data
2018,Senegal,SEN,2018-06-07,27,838.0,3,1.2223,0.4525,Group stage exit,StatsBomb Open Data
2018,Serbia,SRB,2018-06-07,34,751.0,3,1.3648,0.1737,Group stage exit,StatsBomb Open Data
2018,Australia,AUS,2018-06-07,36,718.0,3,1.3405,0.3697,Group stage exit,StatsBomb Open Data
2018,Iran,IRN,2018-06-07,37,708.0,3,0.9003,-0.6925,Group stage exit,StatsBomb Open Data
2018,Morocco,MAR,2018-06-07,41,686.0,3,1.1954,-0.2003,Group stage exit,StatsBomb Open Data
2018,Egypt,EGY,2018-06-07,45,649.0,3,0.9952,-0.8274,Group stage exit,StatsBomb Open Data
2018,Nigeria,NGA,2018-06-07,48,618.0,3,1.1266,-0.2391,Group stage exit,StatsBomb Open Data
2018,Panama,PAN,2018-06-07,55,571.0,3,0.7987,-1.6122,Group stage exit,StatsBomb Open Data
2018,South Korea,KOR,2018-06-07,57,544.0,3,1.0036,-1.1961,Group stage exit,StatsBomb Open Data
2018,Japan,JPN,2018-06-07,61,521.0,4,1.2218,-0.439,Round of 16 exit,StatsBomb Open Data
2018,Saudi Arabia,KSA,2018-06-07,67,465.0,3,1.0227,-0.3149,Group stage exit,StatsBomb Open Data
2018,Russia,RUS,2018-06-07,70,457.0,5,0.9841,-0.52,Quarter-finals exit,StatsBomb Open Data
2014,Spain,ESP,2014-06-05,1,1485.0,3,1.5,0.1,Group stage exit,American Soccer Analysis
2014,Germany,GER,2014-06-05,2,1300.0,7,1.8,0.9,Winner,American Soccer Analysis
2014,Brazil,BRA,2014-06-05,3,1242.0,7,1.4,0.3,Fourth place,American Soccer Analysis
2014,Portugal,POR,2014-06-05,4,1189.0,3,1.5,-0.3,Group stage exit,American Soccer Analysis
2014,Argentina,ARG,2014-06-05,5,1175.0,7,1.1,0.2,Runner-up,American Soccer Analysis
2014,Switzerland,SUI,2014-06-05,6,1149.0,4,1.6,-0.1,Round of 16 exit,American Soccer Analysis
2014,Uruguay,URU,2014-06-05,7,1147.0,4,0.9,-0.3,Round of 16 exit,American Soccer Analysis
2014,Colombia,COL,2014-06-05,8,1137.0,5,1.3,0.1,Quarter-finals exit,American Soccer Analysis
2014,Italy,ITA,2014-06-05,9,1104.0,3,0.8,-0.3,Group stage exit,American Soccer Analysis
2014,England,ENG,2014-06-05,10,1090.0,3,1.2,0.6,Group stage exit,American Soccer Analysis
2014,Belgium,BEL,2014-06-05,11,1074.0,5,1.5,0.5,Quarter-finals exit,American Soccer Analysis
2014,Greece,GRE,2014-06-05,12,1064.0,4,1.2,0.2,Round of 16 exit,American Soccer Analysis
2014,United States,USA,2014-06-05,13,1035.0,4,1.2,-0.9,Round of 16 exit,American Soccer Analysis
2014,Chile,CHI,2014-06-05,14,1026.0,4,1.1,-0.8,Round of 16 exit,American Soccer Analysis
2014,Netherlands,NED,2014-06-05,15,981.0,7,1.4,0.6,Third place,American Soccer Analysis
2014,France,FRA,2014-06-05,17,913.0,5,2.1,1.2,Quarter-finals exit,American Soccer Analysis
2014,Croatia,CRO,2014-06-05,18,903.0,3,1.2,0.1,Group stage exit,American Soccer Analysis
