season,team,tournament_result
2022,Wales,Group stage exit
2022,Uruguay,Group stage exit
2022,United States,Round of 16 exit
2022,Tunisia,Group stage exit
2022,Switzerland,Round of 16 exit
2022,Spain,Round of 16 exit
2022,South Korea,Round of 16 exit
2022,Serbia,Group stage exit
2022,Senegal,Round of 16 exit
2022,Saudi Arabia,Group stage exit
2022,Qatar,Group stage exit
2022,Portugal,Quarter-finals exit
2022,Poland,Round of 16 exit
2022,Netherlands,Quarter-finals exit
2022,Morocco,Fourth place
2022,Mexico,Group stage exit
2022,Japan,Round of 16 exit
2022,Iran,Group stage exit
2022,Ghana,Group stage exit
2022,Germany,Group stage exit
2022,France,Runner-up
2022,England,Quarter-finals exit
2022,Ecuador,Group stage exit
2022,Denmark,Group stage exit
2022,Croatia,Third place
2022,Costa Rica,Group stage exit
2022,Canada,Group stage exit
2022,Cameroon,Group stage exit
2022,Brazil,Quarter-finals exit
2022,Belgium,Group stage exit
2022,Australia,Round of 16 exit
2022,Argentina,Winner
2018,Uruguay,Quarter-finals exit
2018,Tunisia,Group stage exit
2018,Switzerland,Round of 16 exit
2018,Sweden,Quarter-finals exit
2018,Spain,Round of 16 exit
2018,South Korea,Group stage exit
2018,Serbia,Group stage exit
2018,Senegal,Group stage exit
2018,Saudi Arabia,Group stage exit
2018,Russia,Quarter-finals exit
2018,Portugal,Round of 16 exit
2018,Poland,Group stage exit
2018,Peru,Group stage exit
2018,Panama,Group stage exit
2018,Nigeria,Group stage exit
2018,Morocco,Group stage exit
2018,Mexico,Round of 16 exit
2018,Japan,Round of 16 exit
2018,Iran,Group stage exit
2018,Iceland,Group stage exit
2018,Germany,Group stage exit
2018,France,Winner
2018,England,Fourth place
2018,Egypt,Group stage exit
2018,Denmark,Round of 16 exit
2018,Croatia,Runner-up
2018,Costa Rica,Group stage exit
2018,Colombia,Round of 16 exit
2018,Brazil,Quarter-finals exit
2018,Belgium,Third place
2018,Australia,Group stage exit
2018,Argentina,Round of 16 exit
2014,Uruguay,Round of 16 exit
2014,United States,Round of 16 exit
2014,Switzerland,Round of 16 exit
2014,Spain,Group stage exit
2014,South Korea,Group stage exit
2014,Russia,Group stage exit
2014,Portugal,Group stage exit
2014,Nigeria,Round of 16 exit
2014,Netherlands,Third place
2014,Mexico,Round of 16 exit
2014,Japan,Group stage exit
2014,Ivory Coast,Group stage exit
2014,Italy,Group stage exit
2014,Iran,Group stage exit
2014,Honduras,Group stage exit
2014,Greece,Round of 16 exit
2014,Ghana,Group stage exit
2014,Germany,Winner
2014,France,Quarter-finals exit
2014,England,Group stage exit
2014,Ecuador,Group stage exit
2014,Croatia,Group stage exit
2014,Costa Rica,Quarter-finals exit
2014,Colombia,Quarter-finals exit
2014,Chile,Round of 16 exit
2014,Cameroon,Group stage exit
2014,Brazil,Fourth place
2014,Bosnia and Herzegovina,Group stage exit
2014,Belgium,Quarter-finals exit
2014,Australia,Group stage exit
2014,Argentina,Runner-up
2014,Algeria,Round of 16 exit
