season,team,matches,xg_for,xg_against,xg_per_game,xg_against_per_game,net_xg_per_game,tournament_result,fifa_code,fifa_rank_date,fifa_rank_pre_tournament,fifa_points_pre_tournament,data_source,metric_note
2022,Wales,3,2.219,4.9719,0.7397,1.6573,-0.9177,Group stage exit,WAL,2022-10-06,19,1569.82,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2022,Uruguay,3,3.2705,3.0994,1.0902,1.0331,0.057,Group stage exit,URU,2022-10-06,14,1638.71,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2022,United States,4,3.9385,4.2587,0.9846,1.0647,-0.08,Round of 16 exit,USA,2022-10-06,16,1627.48,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2022,Tunisia,3,2.4105,2.4026,0.8035,0.8009,0.0026,Group stage exit,TUN,2022-10-06,30,1507.54,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2022,Switzerland,4,6.0905,5.0091,1.5226,1.2523,0.2704,Round of 16 exit,SUI,2022-10-06,15,1635.92,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2022,Spain,4,4.7541,2.8751,1.1885,0.7188,0.4697,Round of 16 exit,ESP,2022-10-06,7,1715.22,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2022,South Korea,4,3.6046,5.833,0.9011,1.4582,-0.5571,Round of 16 exit,KOR,2022-10-06,28,1530.3,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2022,Serbia,3,3.0904,7.2977,1.0301,2.4326,-1.4024,Group stage exit,SRB,2022-10-06,21,1563.62,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2022,Senegal,4,4.2747,4.1057,1.0687,1.0264,0.0423,Round of 16 exit,SEN,2022-10-06,18,1584.38,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
2022,Saudi Arabia,3,3.2015,6.5479,1.0672,2.1826,-1.1155,Group stage exit,KSA,2022-10-06,51,1437.78,StatsBomb Open Data,Shot-level StatsBomb xG summed over complete tournament matches.
